ITC Bot experimental#9136,Botを停止させますか？,2021-04-20 05:25:46.636000,
kyoichi#8214,!stop,2021-04-20 05:25:46.381000,
ITC Bot experimental#9136,送信が完了しました。,2021-04-20 04:58:51.043000,
ITC Bot experimental#9136,送信します。,2021-04-20 04:58:50.604000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaa
bbbb

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:58:46.430000,
kyoichi#8214,bbbb,2021-04-20 04:58:45.392000,
ITC Bot experimental#9136,'test' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:58:43.240000,
ITC Bot experimental#9136,編集を続けてください。,2021-04-20 04:58:42.942000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:58:37.762000,
kyoichi#8214,aaa,2021-04-20 04:58:36.537000,
ITC Bot experimental#9136,'test' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:58:34.162000,
kyoichi#8214,!send <@&826841280658931732>,2021-04-20 04:58:33.912000,
ITC Bot experimental#9136,モジュール cogs.send の再読み込みを終了しました。,2021-04-20 04:58:31.168000,
ITC Bot experimental#9136,モジュール cogs.send の再読み込みを開始します。,2021-04-20 04:58:30.748000,
kyoichi#8214,!reload cogs.send,2021-04-20 04:58:30.203000,
ITC Bot experimental#9136,送信が完了しました。,2021-04-20 04:54:24.743000,
ITC Bot experimental#9136,送信します。,2021-04-20 04:54:23.817000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
bbbb

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:54:20.268000,
kyoichi#8214,bbbb,2021-04-20 04:54:18.208000,
ITC Bot experimental#9136,'kyoichi' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:54:16.897000,
ITC Bot experimental#9136,編集を続けてください。,2021-04-20 04:54:16.654000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaaa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:54:10.526000,
kyoichi#8214,aaaa,2021-04-20 04:54:09.221000,
ITC Bot experimental#9136,'kyoichi' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:54:05.709000,
ITC Bot experimental#9136,編集を続けてください。,2021-04-20 04:54:05.465000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaaa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:54:03.227000,
kyoichi#8214,aaaa,2021-04-20 04:54:01.952000,
ITC Bot experimental#9136,'kyoichi' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:53:59.933000,
kyoichi#8214,!send <@!438644640325959680>,2021-04-20 04:53:59.797000,
ITC Bot experimental#9136,モジュール cogs.send の再読み込みを終了しました。,2021-04-20 04:53:57.761000,
ITC Bot experimental#9136,モジュール cogs.send の再読み込みを開始します。,2021-04-20 04:53:57.322000,
kyoichi#8214,!reload cogs.send,2021-04-20 04:53:56.617000,
ITC Bot experimental#9136,Command raised an exception: AttributeError: 'str' object has no attribute 'name',2021-04-20 04:51:32.741000,
ITC Bot experimental#9136,編集を続けてください。,2021-04-20 04:51:32.496000,
ITC Bot experimental#9136,"完了が確認されました。以下の内容でよろしいでしょうか？
=======================
aaa

=======================
送信する人は
<@438644640325959680>
です。
よろしければもう一度「✅」、キャンセルし編集を続ける場合は「♻」、コマンドを終了する場合は「❌」とリアクションしてください。",2021-04-20 04:51:29.912000,
kyoichi#8214,aaa,2021-04-20 04:51:28.487000,
ITC Bot experimental#9136,'kyoichi' に DM を一斉送信します。内容を記入が終わりましたら「✅」、キャンセルする場合は「❌」とリアクションしてください。,2021-04-20 04:51:26.097000,
kyoichi#8214,!send <@!438644640325959680>,2021-04-20 04:51:25.945000,
ITC Bot experimental#9136,Sleeping,2021-04-20 03:30:49.819000,
ITC Bot experimental#9136,Botを停止させますか？,2021-04-20 03:30:48.046000,
kyoichi#8214,!stop,2021-04-20 03:30:47.795000,
ITC Bot experimental#9136,キャンセルします。,2021-04-20 03:30:35.346000,
ITC Bot experimental#9136,Botを停止させますか？,2021-04-20 03:30:33.332000,
kyoichi#8214,!stop,2021-04-20 03:30:32.893000,
ITC Bot experimental#9136,ぐあああああっ,2021-04-19 14:51:18.124000,
kyoichi#8214,!stop,2021-04-19 14:51:17.648000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:50:46.110000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:49:46.103000,
ITC Bot experimental#9136,さよなら…さよなら…,2021-04-19 14:34:09.474000,
kyoichi#8214,!stop,2021-04-19 14:34:08.858000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:33:56.390000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:32:56.382000,
ITC Bot experimental#9136,👋,2021-04-19 14:29:18.948000,
kyoichi#8214,!stop,2021-04-19 14:29:18.408000,
ITC Bot experimental#9136,30分タイマーテスト,2021-04-19 14:28:59.206000,
ITC Bot experimental#9136,Botを終了します。,2021-04-19 14:09:02.018000,
kyoichi#8214,!stop,2021-04-19 14:09:01.412000,
